year,month,day,sitename,observedmonarch,largestcluster,surveymethod,samplingtimeminutes,surveyleader,starttime,endtime,distancemeters,observernumber,roosttree,weather,notes
1983,11,23,HunterCanyon,27,,,,Derham Giuliani,,,,1,,,
1983,11,23,McElvoyCanyon,223,30,,,Derham Giuliani,,,,1,,,"Notes are unclear. ""93+38+27+40+21, 23 total. 20,20,15,30,25,10,15,10,15,10,10,20, Clumps. "". Water flowing almost as far as 1976."
1983,11,24,WillowCreek,55,15,,,Derham Giuliani,,,,1,,,Largest clump 15.
1983,11,26,HunterCanyon,50,,,,Derham Giuliani,,,,3,,,"11/22/1984 with John Lane & Lincoln Brower to show them a monarch overwintering site. In Saline Valley until 11/25/1984. A few. Clump not counted at cabin. 50 at mouth of HunterCanyon Canyon, 1 up in it. Notes say 50, but count lists 40."
1984,11,23,McElvoyCanyon,870,300,,,Derham Giuliani,,,,3,,,"11/22/1984 with John Lane & Lincoln Brower to show them a monarch overwintering site. In Saline Valley until 11/25/1984. 460 counted the previous day. Large groups from previous day are now several smaller groups. More were found above center than yesterday. One mating pair far down. 1 central area of large clumps 300+, water all the way down canyon."
1984,11,23,WillowCreek,0,,,,Derham Giuliani,,,,3,,,11/22/1984 with John Lane & Lincoln Brower to show them a monarch overwintering site. In Saline Valley until 11/25/1984
1984,11,23,McElvoyCanyon,3,,,,Derham Giuliani,Morning,,,1,,,"In morning (clear, sunny, warm, no wind) I saw only 2 or 3 flying about, none on shrubs. Wings of dead ones were on the ground. Counted 510 wings, around 400 from parking spot up-canyon for 600', a gap of several hundred ft, then around 100 wings from there to near mouth of cyn. For 600' down-cyn I saw only 5 wings. I'd estimate that the wings represented at least 350 butterflies. They appeared to have been distributed approx. as during the Nov. count when died. No abdomens, thorax or other body parts were attached to any wings. Glen Akin recorded a total of 3"" of snow fell at Morning Sun; this may have caused the deaths."
1985,1,13,HunterCanyon,400,300,,,Derham Giuliani,1400,,,1,"Cottonwood, Larrea",,"2PM. On cottonwood beside pool was 1 large clump of at least 300 Monarchs; a total of at least 100 more were flying about the general area or landed nearby. No other clumps seen. Below mouth of HunterCanyon Cyn, where I counted 50 in November, I counted 360 wings (again no attached body parts) and 5 on Lareea in a part of the area that gets no sun all day at this time of year. More than twice as many of November's 50 must habe been present when the deaths occurred."
1985,1,13,Did not specify,27,,,,Derham Giuliani,,,,1,,,"Doesn't specify which canyon, Spent three days in Saline Valley: 27--BP-Saline V.
    28--Saline Valley. Total yesterday & today: 27 Monarchs. ((Monarch overwintering sites)).
    29--Saline V-Walker Pass-B.P.  "
1985,11,28,WillowCreek,1,,,,Derham Giuliani,1320,,,1,,"Warm, windless",1:20. in flight. A clear warm windless day
1986,11,26,McElvoyCanyon,19,6,,,Derham Giuliani,,,,1,,,"(19) 2 in flight. Clusters: 6,5,4,1,1,+,+. Shadows across entire area, but air warm. Water  
  flowing to just short of County road. Many Larrea had a few to many blooming flowers."
1986,11,28,WillowCreek,1,,,,Derham Giuliani,,,,1,,,
1986,11,28,McElvoyCanyon,19,,,,Derham Giuliani,,,,1,,,
1986,11,28,HunterCanyon,3,,,,Derham Giuliani,,,,1,,,
1987,11,25,WillowCreek,7,,,,Derham Giuliani,1000,,,1,,,10 am PST
1987,11,25,HunterCanyon,3,,,,Derham Giuliani,1200,,,1,,,noon
1987,11,25,McElvoyCanyon,0,,,,Derham Giuliani,1700,,,1,,,"5 pm PST, water not flowing below mouth of canyon"
1989,11,22,WillowCreek,55,,,,Derham Giuliani,1500,,,1,Elm,,"3 pm, counted 55; some in the elm trees, many along wash"
1989,11,22,HunterCanyon,735,600,,,Derham Giuliani,,,,1,Tamarisk,,"HunterCanyon Canyon spring. Over 600 on one tamarisk, in 8 clusters + 180. Most on tamarisk, some on willow and Larrea"
1989,11,23,McElvoyCanyon,50,10,,,Derham Giuliani,,,,1,"Willows, Larrea",,"largest clusted = 10, No water flowing until well into canyon mouth. On willows, occasional on Larrea"
1990,1,27,All?,,,,,Derham Giuliani,,,,2,,,Saline Valley with Paul Cherubini - No numbers noted - Reach out to Paul?
1990,11,21,HunterCanyon,200,,,,Derham Giuliani,,,,2,,,"From Bill Means' place down. Released Paul Cherubini's 300 tagged monarchs at spot of largest cluster (45) at 1-2 pm. Two were dying, one had broken wing. None were at lower HunterCanyon Cyn Creek (water was on surface only at base of rocks at mouth of cyn). Saw one great purple hairstreak on large Baccharus flower head."
1990,11,21,McElvoyCanyon,10,,,,Derham Giuliani,,,,,,,"Shadows across area; no water on surface until well into cyn, about 2500 ft from end of rd beside creek."
1990,11,21,WillowCreek,55,,,,Derham Giuliani,,,,,,,
1990,12,15,All?,,,,,Derham Giuliani,,,,2,,,Saline Valley with Paul Cherubini - No numbers noted - Reach out to Paul?
1991,2,23,All?,0,,,,Derham Giuliani,,,,2,,,Saline Valley with Paul Cherubini - No monarchs seen
1991,11,27,HunterCanyon,87,,,,Derham Giuliani,1300,,,2,"Cottonwood, tamarisk",,"1pm. With Don Constans. At upper crek at cabins, saw only 8 monarchs on the cottonwood tree; in mouth of HunterCanyon Cyn itself, 0 seen. Water flows only a tiny bit below the spring. At lower part of HunterCanyon area, a group of 69 monarchs (58 in one cluster) on last year's tamarisk. Down-stream from there saw at least 10 more (not too badly faded or worn)"
1991,11,27,McElvoyCanyon,1,,,,Derham Giuliani,1600,,,1,,,4pm. Saw only 1 monarch. No water flowing except a short ways from a spring and then non until almost to the hanging gardens.
1991,11,27,WillowCreek,12,6,,,Derham Giuliani,1100,,,1,,,"11 am, saw one cluster of 6 monarchs, at least 6 in flight."
1991,12,27-31,HunterCanyon,All appeared to have died from cold,,,,Derham Giuliani,,,,2,,,"Unsure if he surveyed all three sites, or just HunterCanyon."
1992,11,4,WillowCreek,20,,,,Derham Giuliani,,,,2,,"Clear, warm, no wind","Drove to Saline w/Paul Cherubini to release 300 tagged monarchs at HunterCanyon Canyon. Weather was mostly clear, warm, and no wind."
1992,11,4,HunterCanyon,30,,,,Derham Giuliani,,,,2,,,"Drove to Saline w/Paul Cherubini to release 300 tagged monarchs at HunterCanyon Canyon. Weather was mostly clear, warm, and no wind. 30 monarchs seen, half below and half at upper Cottonwood tree site. 1 monarch in mouth of HunterCanyon Canyon. Water was more numerous at all 3 parts of HunterCanyon Canyon area."
1992,11,25,WillowCreek,20,,,,Derham Giuliani,930,,,1,Elm,Very cold,"9:30 am, counted 20 monarchs on the elm trees. Air very cold and none were in flight."
1992,11,25,McElvoyCanyon,1,,,,Derham Giuliani,1500,,,1,,,"3pm. Water flow was encountered at same upper spot as last year, though more water is flowing this year. Totally dry and riparian vegetation dead below. 1 live and 1 dead monarch"
1992,11,25,HunterCanyon,27,,,,Derham Giuliani,1115,,,1,Cottonwood,,"11:15 am, clear, no wind, air cool but sun warm. At lower area, where tagged monarchs were released, vicinity of the tamarisk mentioned during last 2 or 3 years, saw at least 7 monarchs (drifting, on Baccharus flowers, taking water). At the upper area, at abandoned cabins and cottonwoods, counted 25 tagged monarchs, 20 unmarked, and 8 wings at the base of a cabin eaten by rodents, representing about 3 monarchs, none tagged. Most were clustered within the leaves of cottonwoods on N-facing side (largest cluster was 25). Only saw 5-6, tagged and untagged, in flight. One flying at mouth of HunterCanyon Canyon. **Did not included tagged/released monarchs in count"
1992,11,26,HunterCanyon,49,,,,Derham Giuliani,1630,,,1,Tamarisk,,"Counted 24 tagged and 49 untagged monarchs. Thought he counted wrong, so returned at 4:30 pm to re-count. Approaching dark probably caused him to miss a few. At upper cabins/cottonwood site found 21 tagged and 47 untagged, at lower area found 3 tagged and 2 untagged all together on tamarisk. Too dark to find more in the area. **Did not include tagged/released monarchs in count"
1992,12,3,HunterCanyon,0,,,,Derham Giuliani,,,,1,,,"Could find no live monarchs. Picked up, beneath cottonwood tree, 126 wings of at least 37 monarchs, including 14 tagged ones. From Dec 23-27, weather mostly sunny and no wind."
1993,8,31,HunterCanyon,4,,,,Derham Giuliani,,,,1,,,
1993,12,24,HunterCanyon,0,,,,Derham Giuliani,1900?,,,1,,,"Arrived as shadows arrived, nothing flying or seen on shrubs or trees"
1996,2,4,WillowCreek,0,,,,Derham Giuliani,,,,1,,,
1996,2,4,McElvoyCanyon,1,,,,Derham Giuliani,,,,1,,,Water flowing to just below the mesquite group not very far below the mouth of the canyon. Below there is appears water has not flower for a very long time and all riparian shrubs are dead and creosote highly stresed
1996,2,4,HunterCanyon,6,0,,,Derham Giuliani,,,,1,,Cloudy with occasional sun,"Counted at least 6, there were probably more as they were in flight or down among the brush and hard to see or count properly. Use his minimum number method (the smallest number of individuals that could account for the sightings made). No clusters seen. Heavy with clouds with occasional sun breaking through."
1996,11,24,HunterCanyon,150,29,,,Derham Giuliani,,Sunset,,2,,"Partly cloudy, breezy","Surveyed with Paul Cherunini. On way back down to lower HunterCanyon site, clusters were in formation just before sun went down. 4, 5, 8, 9, 15 were seen in several forming and changing clusters. Baccharis in bloom."
1996,11,30,WillowCreek,28,20,,,Derham Giuliani,,,,2,Elm,,Surveyed with Marty Dickes. Baccharis in bloom.
1997,11,22,WillowCreek,20,5,,,Derham Giuliani,1:30,,,1,,,"Saw at least 10 (1 cluster of 5, 3 in flight, others on Baccharis flowers) at 1:30 pm. Did not check this entire area in order to have time to check McElcoy before dark. Estimates 20 monarhcs (caretaker said there weren't very many this year)"
1997,11,22,McElvoyCanyon,90,64,Estimated census count,,Derham Giuliani,"Evening (surveyed Willow at 1:30, then came to McElvoyCanyon).",,,1,Willow,,"Water ceases to flow below mouth of canyon. From first water on up to upper willows, counted the following: 16, clister in a willow of 64, 6. Surface water is a spring flowing for less than 250 feet and all monarchs were in that stretch, none where dry above, but two were present where canyon water from above ends. Esimate a census count of 90."
1997,11,23,HunterCanyon,520,111,Estimated census count,,Derham Giuliani,7:00 AM,9:00 AM,,1,"Tamarisk, willow, Larrea","Clear, warm, no wind","Counter monarchs as follows: lower area there were 5 clusters (8, 83, 46, 111, 22) and 54 scattered individuals. Cottonwoods area, 2 clusters (27, 96) and 3 scattered individuals, mouth of HunterCanyon Canyon site, 4 clusters (13, 8, 9, 7) and 15 individuals. All were where water flows. Tamarisk was preferred for clustering, followed by willow and Larrea. Some were on Baccharis flowers. Total census: 520"
1998,11,27,HunterCanyon,150,60,,,Derham Giuliani,,,,,,"Heavily clouded, air cool, no wind.","Low elev site: 30 + 10(6) = 40, Cottonwood site: (28)(12)(60) = 100, in HunterCanyon Canyon: 10. Total = 150. Number in parathensis is the largest cluster seen."
1998,11,27,McElvoyCanyon,5,,,,Derham Giuliani,,,,,,"Heavily clouded, air cool, no wind.",Water came a bit lower than last year (almost to the mesquite patch) and the hanging garden also has somewhat more water. Found no dead monarchs or wings of dead ones.
1998,11,27,WillowCreek,25,11,,,Derham Giuliani,,,,,,"Heavily clouded, air cool, no wind.",22(11)  = 25. Number in parathensis is the largest cluster seen.
2002,10,1,McElvoyCanyon,250,,Inflight estimate,,Michael Thomas Bogan,,,,,Creosote,,Esimated by Michael Bogan. Creek flowing about 750 feet below the mouth of the canyon. Monarchs were mainly in the section of stream from where it stops flowing up to the first large hanging garden and side spring on the left (facing upstream). Creosote in bloom.
2004,10,2,Waucoba Canyon,16,,,,Derham Giuliani,,,,,,,Not listed in table - Remove?
2007,11,15,HunterCanyon,50,,,,Derham Giuliani,12:00 PM,2:30 PM,,,,,"Noon, counted 10 monarchs driving up road (where water is running fown road) Mouth of HunterCanyon Canyon proper - blackflies dense. A fair flow for 200'. 20 monarchs seen (including 3 mating pairs). Above cabin area 1pm, at least 15 monarchs. Cabin and pool site - cabin gone and pool dry. Large cottonwoods dead (1 alive). 1 monarch seen. Lower HunterCanyon Sps area 1:30pm, At least 5 monarchs seen. Dense growth prevents crossing creek. Counted 8 monarchs (including 1 mating pair) while driving down rd."
2007,11,15,McElvoyCanyon,5,,,,Derham Giuliani,3:00 PM,4:00 PM,,,,,"3-4 pm, 5 monarchs seen"
2007,11,15,WillowCreek,4,,,,Derham Giuliani,9:00 AM,,,,,"Hot, dry","Four monarchs, creek dry. Leaves mostly on trees. Dry hot weather. Dave Rogers was there, working his talc mine."
2007,11,17,McElvoyCanyon,6,,,,Derham Giuliani,,,,,,,"2 cardui in lower McElvoyCanyon, only 3 monarchs seen in lower canyon this time, but 3 higher up (including 1 at 1st falls)"
2008,11,11,WillowCreek,10,,,,Derham Giuliani,12:00 PM,,,,,,Counted at least 7 monarchs. Road from Willow Cr to the HunterCanyon Canyon Rd becomes very rough from vast flooding down the canyons (apparently had occurred in July).
2008,11,12,HunterCanyon,65,13,,,Derham Giuliani,7:00 AM,9:00 AM,,,larrea,"Mostly clear, no wind","HunterCanyon Canyon Road is all rock rubble and he had to stop at turn-around spot half-way. Scouted the 1/2 mile up to monarch site and road is impassible. No monarchs seen in trees on evening of the 11th, but too dark to really see. Many gnats. Walking from car up to cabin area = 6 monarchs seen. Cabin area to mouth of HunterCanyon Canyon, 0 seen, no water. At mouth of HunterCanyon Canyon, 45 monarchs (incl 1 cluster on Larrea of 13). Cabin area down to car - at least 18 monarchs. Nearly all water is flowing down the road from the springs, none to N of road and virtually none in its old flow to S of road. Never seen such flood damage here in the 40 years he's been coming."
2008,11,12,McElvoyCanyon,5,,,,Derham Giuliani,10:45 AM,2:00 PM,,,,"Mostly clear, no wind","Parked car at 10:45 am part way up the road and walked over to and up the canyon. At least 5 monarchs seen. Went to hanging garden site and it looks about the same as last year. On the way down, saw at least 4 monarchs. Returned to car at 2 pm. Saw no signs of heavy flooding from McElvoyCanyon. Canyon is totally dry up to the large mesquite area where a large flow was briefly present, the dry to near hanging gardens."
2012,10,26,McElvoyCanyon,15-20,,,,Shelley Ellis,,,,,,,Reported with 12/6 observation
2012,12,6,HunterCanyon,37,,,,Shelley Ellis,,,,,,,"37 seen nectaring, probably more in area"
2012,12,7,McElvoyCanyon,3,,,,Shelley Ellis,,,,,,,"Only 3 monarchs, it was getting into shadow when survey was conducted"
2012,12,7,WillowCreek,1,,,,Shelley Ellis,,,,,,,"Only 1 monarch, but observers only ventured 1 mile up canyon"
2016,12,6,HunterCanyon,30-50,,,,Rachel Williams,,,,,,,Visually estimated flying monarchs
2017,12,2,Beveridge,0,,WMTC protocol,120,Meg Tracey,600,800,,4,,"5% cloud cover, wind 3 mph (west), 47 degrees",Surveyed using the WMTC protocol
2017,12,2,HunterCanyon,137,11,WMTC protocol,163,Rachel Williams,607,850,,12,"Mesquite, creosote, willow (largest), mule fat, cottonwood","10% cloud cover, wind 0-3 mph, 50 degrees F",Surveyed using the WMTC protocol
2017,12,2,McElvoyCanyon,3,1,WMTC protocol,180,Wendy Van Norden,615,915,,3,"Mesquite, creosote","0% cloud cover, wind 0-5 mph, 50 degrees F",Surveyed using the WMTC protocol
2017,12,2,PaiuteCanyon,0,,WMTC protocol,120,Erin Nordin,700,900,,9,,"50% cloud cover, no wind, 45-50 degrees F",Surveyed using the WMTC protocol
2017,12,2,WillowCreek,0,,WMTC protocol,60,Laura Mogg,625,725,,2,,"0% cloud cover, no wind, temp unknown",Surveyed using the WMTC protocol
2018,10,16,HunterCanyon,16,2,WMTC protocol,100,Bob Zimmerman,630,810,,2,"Mesquite, willow, cottonwood, creosote","0% cloud cover, wind 5 mph (east), 48-55 degrees F",Surveyed using the WMTC protocol
2018,11,11,HunterCanyon,13,5,WMTC protocol,75,Rachel Williams,600,715,,13,"Screwbean mesquite (3), cottonwood (5), willow (5)","0% cloud cover, no wind, 51 degrees F at start",Surveyed using the WMTC protocol. Group survey. Broke into separate survey teams at HunterCanyon.
2018,11,22,HunterCanyon,5,,Incidental observations,40,Aramee Diethelm/Dr. Beth Pringle,1030,1110,,3,,"25% cloud cover, no wind, 35% humidity, 68 degrees F",Incidental observations
2018,12,1,HunterCanyon,20,7,WMTC protocol,126,Aramee Diethelm/Dr. Beth Pringle,640,846,,4,"Willow (7), cottonwood, creosote","0% cloud cover, no wind, 45.4-55 degrees F",Surveyed using the WMTC protocol
2018,12,2,HunterCanyon,27,6,WMTC protocol,210,Margy Marshall/Darla Heil,630,1000,,4,"Willow (largest cluster), cottonwood","50%-10% cloud cover, calm wind, 41-58 degrees F",Surveyed using the WMTC protocol
2018,12,2,HunterCanyon,0,,WMTC protocol,195,Terry Baker,730,1045,,2,,"0% cloud cover, no wind, 42-55 degrees F",Surveyed using the WMTC protocol
2018,12,10,WillowCreek,2,,Incidental observations,,Aramee Diethelm/Dr. Beth Pringle,,,,4,,,Incidental sighting
2018,12,12,WillowCreek,0,,WMTC protocol,150,Wendy Van Norden,700,930,,2,,"0% cloud cover, wind 3 mph (west), 45 degrees F",Surveyed using the WMTC protocol
2018,12,29,McElvoyCanyon,0,,Incidental observations,,Jean-Claude Nicod,,,,1,,,Incidental sighting
2019,10,17,Craig,4,,Incidental observations,,Chris Norment,,,,1,,,Incidental sighting
2019,11,8,McElvoyCanyon,0,,WMTC protocol,65,Laura Mogg,600,705,,2,,"0% cloud cover, no wind, 52 degrees F",Surveyed using the WMTC protocol
2019,11,16,HunterCanyon,19,1,WMTC protocol,192,Darla Heil,618,930,,4,"Mesquite, cottonwood, willow, mule fat","100% then 20% cloud cover, no precip, calm wind, 53.5-54 degrees F",Surveyed using the WMTC protocol
2019,11,22,WillowCreek,1,,Incidental observations,,Michael Graber,,,,1,,,Incidental sighting
2019,11,23,HunterCanyon,3,1,WMTC protocol,68,Aramee Diethelm/Dr. Beth Pringle,637,745,,4,"Cottonwood, mesquite","15% cloud cover, 0.6 mph winds (SW), 45-55 degrees F",Surveyed using the WMTC protocol
2019,11,24,HunterCanyon,7,1,WMTC protocol,60,Aramee Diethelm/Dr. Beth Pringle,715,815,,4,"Cottonwood, willow, mesquite","0% cloud cover, 0 mph wind, 49-55 degrees F",Surveyed using the WMTC protocol
2019,11,24,WillowCreek,1,,Incidental observations,,Aramee Diethelm/Dr. Beth Pringle,,,,4,,,Incidental sighting while driving
2019,12,8,HunterCanyon,12,1,WMTC protocol,170,Stu Richardson,640,930,Zone 1-4,2,Goodings Willow,"25% cloud cover, 0-3 mph winds (S-SE), 46.1-55.5 degrees F",Surveyed using the WMTC protocol. All monarchs seen in zone 3. All zones were surveyed.
2020,11,4,HunterCanyon,4,2,WMTC protocol,90,Bob Zimmerman,600,730, ,2,Creosote,40-55,Surveyed using the WMTC protocol
2020,11,11,HunterCanyon,0,,WMTC protocol,71,Allegra Davis,634,745,,2,NA,"Clean, no precip, 3 mph wind NE",Surveyed using the WMTC protocol
2020,11,12,McElvoyCanyon,26,4,WMTC protocol,120,Allegra Davis,630,830,,2,"Willow, creosote, mesquite","10% cloud cover, 5 mph winds SW, 45-55 F",Surveyed using the WMTC protocol
2020,11,13,McElvoyCanyon,1,1,WMTC protocol,135,Laura Mogg,615,830,,2,Baccharis salicifolia,"0% cloud cover, no wind, 50-55 F",Surveyed using the WMTC protocol
2020,11,20,HunterCanyon,0,,WMTC protocol,120,Darla Heil,610,810,,8,NA,"20% cloud cover, 1-5 mph wind, 49-55 F",Surveyed using the WMTC protocol. Saw one monarch on 11/19 outside the survey count window. Had a torn wing.
2020,11,21,WillowCreek,4,1,WMTC protocol,105,Stu Richardson,645,830,,2,"red willow, aster, Baccharis","0% cloud cover, 35 F",Surveyed using the WMTC protocol
2020,12,5,McElvoyCanyon,2,1,WMTC protocol,170,Stu Richardson,640,930,,2,"aster, creosote","20% cloud coer, 0 mph wind, 35 F",Surveyed using the WMTC protocol
2020,12,5,McElvoyCanyon,1,1,WMTC protocol,150,Joanna Gilkeson,630,900,,2,creosote,"5% cloud cover, 35 F",Surveyed using the WMTC protocol
2020,12,6,HunterCanyon,3,1,WMTC protocol,115,Rachel Laura,720,915,Zone 1-4,4,"Screwbean mesquite, creosote","0% cloud cover, 28 F, 1 mph wind W",Surveyed using the WMTC protocol
2020,12,6,HunterCanyon,0,0,WMTC protocol,340,Carol Fields,550,1230,,1,NA,"0% cloud cover, 2 mph wind, 46 degrees",Surveyed with only one observer
2021,11,5,HunterCanyon,62,7,WMTC protocol,115,Carol Fields/Bob Zimmerman,705,900,,2,"Willow, mesquite","0% cloud cover, 2 mph wind, 58 degrees",Surveyed using the WMTC protocol. Surveyed past when monarchs began to fly.
2021,11,8,WillowCreek,40,,Incidental observations,,Marty Dickes,,,,Several,NA,Daytime sighting,Incidental sighting. Estimated total numbers. Nectaring on rabbitbrush. Most common at the 2nd spring above dry stretch on canyon. More monarchs higher up.
2021,11,10,McElvoyCanyon,231,33,WMTC protocol,103,Darla Heil,600,743,To waterfall,2,"Mesquite, creosote, willow, cottonwood, mule fat","60% high cloud cover, calm, 54-60 F",Surveyed using the WMTC protocol
2021,11,15,HunterCanyon,318,27,WMTC protocol,95,Darla Heil,600,735,Zone 1-4,9,"Mesquite, creosote, willow, cottonwood, mule fat","Clear, calm, 50-58 F",Surveyed using the WMTC protocol
2021,11,17,WillowCreek,9,,Incidental observations,45,Allegra Davis,1415,1500,,2,,"72 F, 0% cloud cover",Incidental daytime sighting at lowest grove.
2021,11,18,HunterCanyon,490,34,WMTC protocol,110,Allegra Davis/Laura Mogg,610,800,Zone 1-4,4,"creosote, mesquite, seep willow, willow, tamarisk","37% cloud cover, 2 mph wind, 54 F",Surveyed using the WMTC protocol
2021,11,19,McElvoyCanyon,236,18,WMTC protocol,76,Allegra Davis/Laura Mogg,615,736,,4,"creosote, mesquite, willow, seep willow, cottonwood","60% cloud cover, no precip, 2 mph wind, 54 F",Surveyed using the WMTC protocol
2021,11,17,McElvoyCanyon,204,42,WMTC protocol,73,Laura Mogg,620,735,,2,"Creosote, mesquite, willow, seep willow, cottonwood","clear, 2 mph, 62 F",Surveyed using the WMTC protocol
2021,11,21,McElvoyCanyon,233,17,WMTC protocol,105,Rachel Laura,618,803,To waterfall,5,"Creosote, mesquite, willow, seep willow, cottonwood","clear, 4-12 mph wind E, 52-54 F",Surveyed using the WMTC protocol
2021,11,22,HunterCanyon,620,49,WMTC protocol,110,Rachel Laura,608,758,Zone 1-4,6,"Mesquite, creosote, seep willow, willow, cottonwood","clear, calm, 45-52",Surveyed using the WMTC protocol
